,index,name,extra,process,harvest time,sub region,varietal,elevation,producer
396,96,Espresso Novo,Process Washed Natural/Dry Processed Harvest Time February 2017,Process Washed Natural/Dry Processed,Harvest Time February 2017,,,,
397,28,Buffalo Blend,Process Washed Natural/Dry Processed Sub Region Acatenango Varietal Bourbon,Process Washed Natural/Dry Processed,,Sub Region Acatenango,Varietal Bourbon,,
398,265,Cherry Picker,Process Washed Natural/Dry Processed Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900,Process Washed Natural/Dry Processed,Harvest Time December 2017-Febuary 2018,Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900,Varietal Mixed Heirloom Elevation 1900,Elevation 1900,
399,65,Blue Orchid Blend,Process Washed Natural/Dry Processed Sub Region Mogiana Huila Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000,Process Washed Natural/Dry Processed,Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000,Sub Region Mogiana Huila,Varietal Bourbon Castillo Colombia Elevation 1000,Elevation 1000,
400,111,Penrose v18,Process Washed Natural/Dry Processed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Process Washed Natural/Dry Processed,Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Varietal Pacas Elevation 1000,Elevation 1000,Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000
401,346,Phantom Limb Blend,Process Washed Natural/Dry Processed Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Process Washed Natural/Dry Processed,Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Varietal Ethiopian Heirloom Elevation 1700,Elevation 1700,
402,311,Organic Icebreaker Cold Brew,Process Washed Natural/Dry Processed Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia. Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Process Washed Natural/Dry Processed,Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia,Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Elevation 1750,Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750
403,357,Organic Infrared,Process Washed Natural/Dry Processed Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Process Washed Natural/Dry Processed,Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Varietal Typica Caturra Bourbon Colombia Elevation 1750,Elevation 1750,
404,226,Fishtown,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
405,231,Bourbon,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
406,218,Afrique,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
407,382,Decaf Bitches Brew,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
3,78,Sound & Vision,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom Elevation 1000,Process Washed Natural/Dry Processed,,,Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom,Elevation 1000,
409,448,Blackstrap,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Catuai Catimor Icatu Mondo Novo Pacas Typica Ethiopia Heirloom Elevation 1200,Process Washed Natural/Dry Processed,,,Varietal Bourbon Caturra Catuai Catimor Icatu Mondo Novo Pacas Typica Ethiopia Heirloom,Elevation 1200,
410,451,Bistro Blend,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1000,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1000,
411,462,Bistro Blend,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1000,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1000,
412,350,Queen City,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1200,
413,50,Organic Espresso,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1200,
414,133,Caffe Del Sol,Process Washed Natural/Dry Processed Varietal Bourbon Typica,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,,
415,260,Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,Process Washed Natural/Dry Processed,,,Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,,
416,259,Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,Process Washed Natural/Dry Processed,,,Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,,
417,388,Petunias,Process Washed Natural/Dry Processed Varietal Caturra,Process Washed Natural/Dry Processed,,,Varietal Caturra,,
418,154,Stoker,Process Washed Natural/Dry Processed Varietal Changes Seasonally,Process Washed Natural/Dry Processed,,,Varietal Changes Seasonally,,
419,327,Orion Signature Espresso,Process Washed Natural/Dry Processed Varietal Heirloom Bourbon Castillo Caturra,Process Washed Natural/Dry Processed,,,Varietal Heirloom Bourbon Castillo Caturra,,
420,102,East Coast,Process Washed Natural/Dry Processed Varietal Multiple,Process Washed Natural/Dry Processed,,,Varietal Multiple,,
421,36,Zip Zinger,Process Washed Natural/Dry Processed Varietal Various,Process Washed Natural/Dry Processed,,,Varietal Various,,
422,108,World's Best Espresso (WBC),Process Washed Natural/Dry Processed Varietal Various,Process Washed Natural/Dry Processed,,,Varietal Various,,
461,187,Indonesia Sumatra,Process Washed Wet-hulled,Process Washed Wet-hulled,,,,,
462,377,Indonesia,Process Wet-hulled Sub Region Northern Sumatra & Aceh Varietal Crowned Garuda (Arabica) Elevation 1100 - 1300,Process Wet-hulled,,Sub Region Northern Sumatra & Aceh,Varietal Crowned Garuda (Arabica),Elevation 1100 - 1300,
