,index,name,extra,process,varietal,elevation,producer,sub region
307,109,Colombia San Roque,"['Process', 'Washed', 'Varietal', 'Arabica', 'Elevation', '1500', '-', '1700']","['Process', 'Washed']","['Varietal', 'Arabica']","['Elevation', '1500', '-', '1700']",,
308,333,Bleu,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
309,34,Bauhaus,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
310,317,Bleu,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
311,70,Ethiopia Heirloom - Single Origin,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
312,43,Conscientious Objector,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
313,225,Monte Carlo Decaf,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
314,81,Tightrope,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']","['Varietal', 'Arabica']",,,
315,253,Cold Brew Blend,"['Process', 'Washed', 'Varietal', 'Blend']","['Process', 'Washed']","['Varietal', 'Blend']",,,
316,254,Decaf Highline,"['Process', 'Washed', 'Varietal', 'Blend']","['Process', 'Washed']","['Varietal', 'Blend']",,,
317,32,Darkness,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']","['Varietal', 'Bourbon']",,,
318,237,Decaf Librarian's Blend,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']","['Varietal', 'Bourbon']",,,
319,23,Virgil's,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']","['Varietal', 'Bourbon']",,,
320,97,Black Cat Decaf Espresso,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']","['Varietal', 'Bourbon']",,,
321,76,Pale Rider,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Castillo', 'Caturra']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Castillo', 'Caturra']",,,
322,157,Chronic Super Dank,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Catuai']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Catuai']",,,
323,0,71 House,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Catuai', 'Caturra', 'Elevation', '1350']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Catuai', 'Caturra'","Elevation', '1350']",,
324,305,The Chronic,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Catuai']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Caturra', 'Catuai']",,,
325,139,Mexico Alturas,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Catuai']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Caturra', 'Catuai']",,,
326,335,Hudson,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Catuai', 'Catimor', 'Pacas', 'Typica', 'Elevation', '1300']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Caturra', 'Catuai', 'Catimor', 'Pacas', 'Typica',","Elevation', '1300']",,
327,149,Fresh Crop Balanced,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Pacas', 'Colombia', 'Catuai', 'Castillo', 'Elevation', '1400']","['Process', 'Washed']","['Varietal', 'Bourbon', 'Caturra', 'Pacas', 'Colombia', 'Catuai', 'Castillo',","Elevation', '1400']",,
