,name,roaster,descriptor,price,weight,weight in g,weight in oz,location,roasternotes,blend_single,roastlevel,classification,flavornotes,extra
0,71 House,Irving Farm,"This signature House Blend was crafted as the hallmark coffee for Irving's original cafe at 71 Irving Place. Classic, rich, smooth flavors are great with milk.",14.75,12.0,340.1942774959533,12.0,"New York, NY","Our signature House Blend was created as the hallmark coffee for our original cafe at 71 Irving Place. The blend has a chocolate, round, and smooth flavor.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Citrus,"['Process', 'Washed', 'Varietal', 'Bourbon, Catuai, Caturra', 'Elevation', '1350']"
1,Costa Rica Santa Maria,Huckleberry,"Smooth, lush, and clean, with soft apple acidity and maple syrupy sweetness.",17.0,12.0,340.1942774959533,12.0,"Denver, CO","Santa Maria is back in Huckleberry's lineup, hailing from COOPEDOTA in Costa Rica's Central Valley. This eco-pulped coffee is balanced, combining traditional sugar, pastry, and nutty sweetness with red grape, citrus, and apple fruit tones.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Costa Rica with hints of Sweet Vanilla and Ripe Fruit,"['Process', 'Washed', 'Sub Region', 'San Jose', 'Producer', 'Cooperativa de Caficultores de Dota, R.L.', 'Varietal', 'Catuaí, Caturra', 'Elevation', '1500 - 1900']"
2,Ad Astra Signature Blend,PT's,"If your coffee substitutes as breakfast, this one’s for you. A dark roast of high-density varieties, this blend will tide you over. (Until your next cup.)",17.5,12.0,340.1942774959533,12.0,"Topeka, KS","Ad Astra is a very heavy, dark roasted blend of high-density coffees. Balance the sugars of a sweet dessert with Ad Astra's hints of bittersweet chocolate and heavy body. Dark chocolate is prominent throughout, marked by a cola-like sweetness and lingering tone of caramelized sugar.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Sweet Vanilla,"['Process', 'Washed, Pulped Natural', 'Varietal', 'Various']"
3,"Inkwell, House Blend",Quills,"Finally, a crowd-pleaser with some depth. This balanced coffee offers something for everyone in a complex yet approachable house blend.",15.0,12.0,340.1942774959533,12.0,"Louisville, KY","Inkwell has quickly become a favorite for many of our customers. This house blend has something for everyone, but it’s not just a simple crowd-pleaser. This blend represents everything we are proud to showcase in our coffees: care in production, intentional sourcing and a roaster’s unique touch—all balanced in a complex, delicate dance. It’s proof that blending doesn’t mean watering down quality.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Sweet Vanilla,"['Process', 'Washed', 'Sub Region', 'Tolima, Tarrazu', 'Harvest Time', 'November 2017', 'Varietal', 'Colombia, Castillo', 'Elevation', '1200']"
4,Ruby's,DOMA,"Bold and intricately spiced, full of chocolate and peppery notes - but with the sweetness of brown sugar and ripe red cherries. This one's got a sweet side.",16.0,12.0,340.1942774959533,12.0,"Post Falls, ID","Fruity aromas, flavors of chocolate and pepper, brown sugar aftertastes, a mild acidity, a smooth body and a memorable sweetness.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Ripe Fruit and Milk Chocolate,"['Process', 'Washed, Natural/Dry Processed, Wet-hulled', 'Varietal', 'Heirloom, Tim Tim, Bourbon']"
5,Lyon,La Colombe,"Get toasty, in any weather. Nutty and smooth, this easy-on-the-palate coffee also spreads warmth through the philanthropic initiatives its proceeds support.",14.0,12.0,340.1942774959533,12.0,"Philadelphia, PA","Lyon is a coffee with a gentle nature, both in flavor and spirit. Nutty-sweet notes of almond take on a smooth, toasty flavor that makes for an easy-drinking cup. The impact of this coffee is larger than the taste; proceeds from this bag help build the financial foundation for our philanthropic and community initiatives, including the Haiti Coffee Academy.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Berry Fruit and Nut,"['Process', 'Washed, Pulped Natural', 'Varietal', 'Arabica']"
6,Corsica,La Colombe,"It’s named for an ancient island, off of Italy, just as evocative as it sounds. Much like this coffee that’s smooth and sumptuous with a slight bite of bold.",13.0,12.0,340.1942774959533,12.0,"Philadelphia, PA","It’s a coffee you know and love, with deep, dark chocolate tones and a bold coffee flavor. Named for an ancient island in the Mediterranean, Corsica’s cocoa notes pair beautifully with milk or stand alone, making it the perfect filter coffee for a fulfilling morning.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed, Pulped Natural', 'Varietal', 'Arabica']"
7,Caffe Luna,Caffe Vita,"Sip this by the light of the luna, or with the first crack of dawn. Just sip its signature roasty flavor, often.",17.0,12.0,340.1942774959533,12.0,"Seattle, WA","Caffe Vita signature French roast blend of Central, South American and Indonesian coffees.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed', 'Varietal', 'Bourbon, Typica', 'Elevation', '1500']"
8,"Ethiopia, Semalo Pride Honey",Maquina,"Intensely floral, with a syrupy body and honey sweetness that lingers on the palate.",17.0,12.0,340.1942774959533,12.0,"West Chester, PA","Pride Mill is deeply isolated in the Yirgacheffe countryside, and is a new project by our friends at GMT, whose vision is to build Pride Mill and its coffees into the pride of Ethiopia.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Ethiopia with hints of Florals and Sweet Vanilla,"['Process', 'Honey', 'Sub Region', 'Yirgacheffe', 'Producer', 'Firewoyne Tesfaye', 'Harvest Time', 'January - June 2017', 'Varietal', 'Ethiopia Heirloom', 'Elevation', '1800 - 2100']"
9,Mixtape,Dogwood,"Unlike that crush who didn’t appreciate your mad mixtape skills, this coffee loves you back. It’s the perfect match of balanced and bright.",16.0,12.0,340.1942774959533,12.0,"Minneapolis, MN","This blend is like one of the mixtapes you made for the person you really like-liked, but didn’t know very well. It is balanced, a little bass-y and a little bright. It’s a crowd pleaser with components that meld together nicely. We leave this blend open to change depending on the season, our offerings and what tastes yummy.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Nut,"['Process', 'Washed', 'Sub Region', 'Tolima, Tarrazu, Cajamarca', 'Producer', '58 families (C), Luis Ureña (CR), Valentin Guerrero Zurita (P)', 'Harvest Time', 'sept-dec (C), dec-apr (CR), may-aug (P)', 'Varietal', 'Caturra, Colombia, Typica, Catuai, Bourbon, Typica, Caturra', 'Elevation', '1500 (C), 1800 (CR), 1350 (P)']"
10,Gesha Village 2017 Dry Process,Passenger,"With great clarity, this coffee delivers a tropical fruit forward profile with delicious complexity. Frozen prior to roasting to retain freshness, Gesha Village is one of a kind.",25.0,10.0,283.4952312466278,10.0,"Lancaster, PA","Striking in its clarity of flavor, this Dry Processed lot is dominated by tropical fruit flavors. Incredibly clean, the primary flavors found in this lot are from the variety and the place it was grown, not the processing method. That said, there is a distinct fruited character related to the Dry Process method. This is naturally processed coffee at its finest.",Single Origins,Light Roast,Fruity & Crisp,"Packed with bold notes of Tropical Fruit, Berry Fruit and Brown Sugar","['Process', 'Natural/Dry Processed', 'Sub Region', 'Gesha', 'Producer', 'Adam Overton and Rachel Samuel', 'Harvest Time', 'November-January, 2016-2017', 'Varietal', 'Heirloom Gesha', 'Elevation', '1900 - 2100']"
11,Hair Bender,Stumptown,"The one that started it all and still the most popular for Stumptown. Sweet, complex, & balanced, this dynamic coffee is great no matter how your brew it.",15.0,12.0,340.1942774959533,12.0,"Portland, OR","The coffee that started it all. Hair Bender is our most popular coffee with good reason – it’s sweet, complex, and balanced. We still serve this dynamic coffee in all of our cafes as espresso, but it’s a day-maker however you brew it.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Citrus, Milk Chocolate and Brown Sugar","['Process', 'Washed']"
12,Southern Weather,Onyx,"No fuss, just flavor—shiny, bright and balanced with a little nuttiness (a nod to Onyx’s southern roots). Seasonal updates make a great cup in any weather.",15.0,12.0,340.1942774959533,12.0,"Fayetteville, AR","For us, Southern Weather (formerly Sugar Skull) embodies the wonderful relationships between a citric acidity balance and wonderful, full-bodied chocolates. We serve this every day and find it comfortable, yet surprisingly complex and sophisticated. We brew this with all devices all day long, even as espresso.",Blends,Medium Roast,Balanced & Fruity,"Hints of Milk Chocolate, Ripe Fruit and Nut","['Process', 'Washed', 'Varietal', 'Pacamara, Colombia', 'Elevation', '1800']"
13,Nicaragua Finca La Amistad,Panther,"Before the day gets messy, keep it clean with a coffee that fills your cup with straightforward taste. Perfectly simple and sweet.",14.0,12.0,340.1942774959533,12.0,"Miami, FL","Caramel sweetness notes of peach, apricot and dried cherries. Mild with a clean finish.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Nicaragua with hints of Brown Sugar and Ripe Fruit,"['Process', 'Washed', 'Sub Region', 'Jinotega', 'Producer', 'Francisco Javier Valle Garcia', 'Varietal', 'Catuai, Caturra', 'Elevation', '1200 - 1250']"
14,Colombia El Jigual,Irving Farm,"Round, clean and fruity, with notes of blackberry and hibiscus - this is what a great farm-roaster partnership tastes like.",15.5,12.0,340.1942774959533,12.0,"New York, NY","With a stunning roundness and deeply flavorful fruity finish, El Jigual is an incredible example of a coffee from Huila, Colombia. We have been buying Dario Anaya’s coffee since 2011.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Huila', 'Producer', 'Dario Anaya', 'Varietal', 'Colombia F6', 'Elevation', '1400 - 1700']"
15,Ethiopia Bensa Shantawene Natural,Onyx,"Not a coffee for the timid: this natural is out of control juicy, with ripe red strawberries up front in a lush, creamy body. Tropical fruit acidity rounds out the cup flawlessly.",21.0,12.0,340.1942774959533,12.0,"Fayetteville, AR","Deep in the Sidama region of Ethiopia lies the small farming town of Daye. Shantawene is the small wet mill in the village that has created this incredible coffee. It differs from its washed counterpart in one significant way. Where delicate florals dominate the washed cup, this natural powers through with red fruit depth. Tropical notes arrive on the finish, and a heavier, sweet cream mouthfeel leaves you wanting more. It is also Certified Organic.",Single Origins,Light-Medium Roast,Fruity & Crisp,"Packed with bold notes of Berry Fruit, Sweet Vanilla and Florals","['Process', 'Natural/Dry Processed', 'Sub Region', 'Sidama', 'Harvest Time', 'November through February', 'Varietal', 'Mikicho, Setami, Heirloom', 'Elevation', '2000 - 2300']"
