name,extra
71 House,Process Washed Varietal Bourbon Catuai Caturra Elevation 1350
Costa Rica Santa Maria,Process Washed Sub Region San Jose Producer Cooperativa de Caficultores de Dota R.L. Varietal Catuaí Caturra Elevation 1500 - 1900
Ad Astra Signature Blend,Process Washed Pulped Natural Varietal Various
"Inkwell, House Blend",Process Washed Sub Region Tolima Tarrazu Harvest Time November 2017 Varietal Colombia Castillo Elevation 1200
Ruby's,Process Washed Natural/Dry Processed Wet-hulled Varietal Heirloom Tim Tim Bourbon
Lyon,Process Washed Pulped Natural Varietal Arabica
Corsica,Process Washed Pulped Natural Varietal Arabica
Caffe Luna,Process Washed Varietal Bourbon Typica Elevation 1500
"Ethiopia, Semalo Pride Honey",Process Honey Sub Region Yirgacheffe Producer Firewoyne Tesfaye Harvest Time January - June 2017 Varietal Ethiopia Heirloom Elevation 1800 - 2100
Mixtape,Process Washed Sub Region Tolima Tarrazu Cajamarca Producer 58 families (C) Luis Ureña (CR) Valentin Guerrero Zurita (P) Harvest Time sept-dec (C) dec-apr (CR) may-aug (P) Varietal Caturra Colombia Typica Catuai Bourbon Typica Caturra Elevation 1500 (C) 1800 (CR) 1350 (P)
Gesha Village 2017 Dry Process,Process Natural/Dry Processed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2016-2017 Varietal Heirloom Gesha Elevation 1900 - 2100
Hair Bender,Process Washed
Southern Weather,Process Washed Varietal Pacamara Colombia Elevation 1800
Nicaragua Finca La Amistad,Process Washed Sub Region Jinotega Producer Francisco Javier Valle Garcia Varietal Catuai Caturra Elevation 1200 - 1250
Colombia El Jigual,Process Washed Sub Region Huila Producer Dario Anaya Varietal Colombia F6 Elevation 1400 - 1700
Ethiopia Bensa Shantawene Natural,Process Natural/Dry Processed Sub Region Sidama Harvest Time November through February Varietal Mikicho Setami Heirloom Elevation 2000 - 2300
Costa Rica Perla Negra Natural,Process Natural/Dry Processed Sub Region Sabanilla de Alajuela Central Valley Producer Oscar and Francisca Chacon Varietal Various Elevation 1450
Gotham,Process Washed Sub Region Ahuachapán Producer The Salaverria family Varietal Bourbon Catuai Elevation 1350
Black Cat Classic Espresso,Process Washed
French Roast,Process Washed Varietal Various
Brasil,Process Pulped Natural Sub Region Carmo de Minas Varietal Yellow bourbon
Le Corbusier French Roast,Process Natural/Dry Processed
Flying Monkey Espresso,Process Washed Natural/Dry Processed Pulped Natural Varietal Various
Virgil's,Process Washed Varietal Bourbon
Ethiopia Sidama Ardi,Process Natural/Dry Processed Sub Region Guji Borena Hagermariam District Producer Nardos Coffee Varietal Heirloom Elevation 1750 - 1800
Eclipse,Process Washed Varietal Caturra and Heirloom
El Socorro Maracaturra,Process Washed Sub Region Guatemala Department Producer Juan Diego de la Cerda Varietal Maracaturra Elevation 1750 - 1750
Tarrazu,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra Catuai Elevation 1190 - 1890
Buffalo Blend,Process Washed Natural/Dry Processed Sub Region Acatenango Varietal Bourbon
Theo Blend,Process Washed Varietal Bourbon Typica Elevation 1500
Ethiopia Bokasso,Process Washed Sub Region Sidama Harvest Time Dec-March 2017-2018 Varietal Heirloom Elevation 1900 - 2000
Oktoberfest,Process Washed Elevation 1750
Darkness,Process Washed Varietal Bourbon
Kenya Gaturiri,Process Washed Sub Region Central Kenya Nyeri Producer Barichu Cooperative Society Harvest Time November - February Varietal SL-28 SL-24 Elevation 1750 - 1750
Bauhaus,Process Washed Varietal Arabica
"Party, Ethiopia",Process Natural/Dry Processed Sub Region Kore Kochere Producer Boji Washing Station Harvest Time December 2017 - January 2018 Varietal Heirloom Elevation 1800 - 1900
Zip Zinger,Process Washed Natural/Dry Processed Varietal Various
Ethiopia Ardi,Process Natural/Dry Processed Sub Region Kilenso Mokonisa Sidama Producer Various Smallholders Israel Degefa Wet Mill Varietal Ethiopian Heirloom Elevation 1800 - 2100
Costa Rica,Process Washed Sub Region West Valley Varietal Caturra Elevation 1400 - 1600
Monarch Blend,Process Washed Varietal Caturra Ethiopia Heirloom Elevation 2000
Buena Vista,Process Washed Sub Region Cauca Producer Various Harvest Time December - April Elevation 1700
Organic Radio Wave,Process Washed Sub Region Tolima Harvest Time September 2017 Varietal Typica Bourbon Caturra Colombia Elevation 1450
Onyx Cold Brew,Process Washed Sub Region Antioquia Varietal Caturra Typica Bourbon Elevation 1600 - 1650
Conscientious Objector,Process Washed Varietal Arabica
Kenya Gichugene,Process Washed Sub Region Meru Producer Katheri Farmer Coop Harvest Time Jan 2018 - March 2018 Elevation 1650
Limited Release Nicaragua El Esfuerzo CoE,Process Washed Sub Region Jinotega Producer Ignacio Estrada Burgo Harvest Time 2018 Varietal Maracaturra Elevation 1300 - 1400
Four Leftys,Process Washed Harvest Time January-February 2017
Guatemala La Maravilla El Aguacate,Process Washed Sub Region Huehuetenango Producer Mauricio Rosales Harvest Time Spring 2018 Varietal Bourbon Caturra Elevation 1700
Brazil Klatch Diamond Reserve,Process Natural/Dry Processed Varietal Red Bourbon
La Familia Guarnizo,Process Washed Sub Region Huila Producer Guarnizo Family Harvest Time April-July October-December Varietal Caturra Elevation 1600 - 1800
Organic Espresso,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200
Sugar Cane Decaf,Process Washed Sub Region Tolima Harvest Time Late Summer Early Autumn Varietal Mixed Elevation 1400 - 1800
Gedeb Alemu,Process Washed Sub Region Yirgacheffe Producer Gedeb Alemu Varietal Ethiopia Heirloom Elevation 1900 - 2100
Union Blend,Process Washed Sub Region Huehuetenango Sierra Madre de Chiapas Varietal Caturra Catuai Bourbon Pache Typica Mundo Novo Elevation 1000
"Santa Tereza, Costa Rica",Process Washed Sub Region Dota Varietal red & yellow catuaí
Founder's Blend,Process Washed
Holler Mountain,Process Washed
Creamery Seasonal Blend,Process Washed Sub Region Huehuetenango Tarrazu Kirinyaga Producer Ernesto Perez and family Rolando Esquivel Bararantes and Family various small holders Harvest Time March 2017 Varietal Bourbon Caturra Maragogipe Red Catuia SL-28 and SL-34 Elevation 1600
Diesel Dark Roast,Process Washed Varietal Bourbon Typica Catuai Catimor Elevation 1300
Tarrazu Espresso,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra Catuai Elevation 1190 - 1890
Crown Point,Process Washed
Organic Full Spectrum,Process Washed Sub Region Jacaltenango Producer Rio Azul Cooperative Harvest Time May 2017 Varietal Typica Caturra Castillo Elevation 1500
Cold Brew,Process Washed Varietal Varies with season Elevation 1200
"Guatemala, Finca Chalum",Process Washed Sub Region Huehuetenango Producer Armando Gomez Varietal pache verde caturra bourbon Elevation 1750 - 1940
Alchemy,Process Washed Harvest Time 2018 Varietal Caturra Catuai Elevation 1190
Blue Orchid Blend,Process Washed Natural/Dry Processed Sub Region Mogiana Huila Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000
Brasil Fazenda Furnas,Process Natural/Dry Processed Sub Region Minas Gerais Producer Rinaldo de Castro Junqueira Varietal Yellow Bourbon Elevation 1350 - 1350
Indonesia Java Blue Batavia,Process Wet-hulled Sub Region West Java Varietal Linie S795 Jember Elevation 2300 - 2400
"Hacienda Carmona, Guatemala",Process Washed Sub Region San Juan del Obispo Sacatepequez Producer Maria Zelaya Harvest Time Spring 2018 Elevation 1580
Seabright House Blend,Process Washed Sub Region Cauca Elevation 1700
Ethiopia Heirloom - Single Origin,Process Washed Varietal Arabica
Misfit,Process Washed Natural/Dry Processed Pulped Natural Varietal Caturra
Time and Temperature,Process Washed Varietal Heirloom Colombia Castillo Caturra
Stella Espresso,Process Washed Sub Region Huila Varietal Caturra Typica
House Blend,Process Washed
Intelligentsia House Blend,Process Washed Sub Region Colombia Rwanda Peru
Pale Rider,Process Washed Varietal Bourbon Castillo Caturra
Ethiopia,Process Natural/Dry Processed Sub Region Guji Varietal Indigenous Heirloom Cultivars Elevation 1900 - 2150
Sound & Vision,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom Elevation 1000
Brazil Blue Diamond,Process Natural/Dry Processed Sub Region Cerrado Minero Varietal Arabica Elevation 800 - 1300
Marco's,Process Washed Varietal Guatemala - Bourbon Catuai Carurra Paches Typica. Colombia - Caturra Castillo Typica. Peru - Bourbon Typica Catlai Caturro Mundo Novo Pache.
Tightrope,Process Washed Varietal Arabica
The Daily,Process Washed Sub Region Cajamarca Peru; Huila Colombia Varietal Typica Caturra Pache and Bourbon Elevation 1200
Hundred Mile,Process Washed
"Santo Domingo Women's Co-op, Guatemala","Process Washed Sub Region Huehuetenango Producer ""Santo Domingo Womens Co-op"" Varietal Caturra Catuai Elevation 1200 - 1400"
El Salvador Guadalupe,Process Washed Producer The Salaverria Varietal Bourbon Catuai Elevation 1350 - 1650
La Perla de Oaxaca Organic Mexico,Process Washed Sub Region Santa Cruz Itundujia Oaxaca Producer Café San José Zaragoza | CEPCO Harvest Time December 2017 - March 2018 Varietal Bourbon Typica Mundo Novo
Guatemala Cerro Grande,Process Washed Sub Region Huehuetenango Producer Ivan Ovalle Harvest Time Spring 2018 Varietal Bourbon Typica Caturra Elevation 1500 - 1950
El Salvador Santa Rosa Honey,Process Honey Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850
03 Rwanda Gatare,Process Washed Sub Region Nyamasheke Varietal Bourbon Elevation 1765 - 2200
Panama Hartmann Honey,Process Honey Sub Region Chiriqui Producer Hartmann Family Harvest Time Jan 2018 - March 2018 Elevation 1300
Sermon,Process Washed Producer Various Small & Large Producers Elevation 1200
Ethiopia Banko Gotiti,Process Washed Sub Region Gedab Harvest Time October 2017 - January 2018 Varietal Heirloom Elevation 1900 - 2100
Homestead,Process Washed
Colombia Tolima Organic,Process Washed Sub Region Tolima
Montecarlos Bourbon,Process Washed Sub Region Apaneca Producer Carlos and Julie Batres Harvest Time January-March Varietal Bourbon Elevation 1600 - 1800
Espresso Novo,Process Washed Natural/Dry Processed Harvest Time February 2017
Black Cat Decaf Espresso,Process Washed Varietal Bourbon
Ethiopia Yirgacheffe YirgZ,Process Washed Sub Region Yirgacheffe Harvest Time Nov-Jan 2017-18 Varietal Heirloom Elevation 1900 - 2000
El Chaparral,Process Washed Varietal Various Elevation 1500
Leftist Espresso,Process Washed Varietal Typica Caturra Pache Bourbon Catimor
Zamboni® Cold Brew,Process Natural/Dry Processed Pulped Natural Sub Region Valle de Grama Guji Producer Brazil: Carvalho Family Ethiopia: Haile Gebre Harvest Time Brazil: April - September Ethiopia: November - February Varietal Yellow Bourbon Mixed Ethiopian Heirloom Elevation 950
East Coast,Process Washed Natural/Dry Processed Varietal Multiple
Southpaw Espresso,Process Washed Varietal Southpaw espresso is a bright and juicy blend that earns its name from being nimble surprising and packed with a punch. This shot is well balanced achieving a complex and sweet flavor profile with enough body to punch through short milk drinks. Southpaw is designed to work well as a straight shot or in drinks 6 ounces and under such as a cortado or macchiato.
Bird Rock Blend,Process Washed Wet-hulled Varietal Heirloom Elevation 1400
Decaf Colombia Aguacate,Process Washed Sub Region Sandoná Nariño Producer 30 members of the “Asociación Creciendo con el Campo” Harvest Time May - July 2017 Varietal Caturra Elevation 1700 - 2100
Colombia Santa Barbara,Process Washed Sub Region Antioquia Varietal Colombia Caturra Elevation 1400 - 2000
Mexico Chiapas GRAPOS,Process Washed Sub Region Tapachula Chiapas Producer Various Women Smallholders Members of Grapos Harvest Time December 2017 Varietal Caturra Catuai Bourbon Mundo Novo Elevation 900 - 1850
World's Best Espresso (WBC),Process Washed Natural/Dry Processed Varietal Various
