Ethiopia Tabe Burka,Elm,"Elegant and sweet, this one has will keep you on your toes with its red grape acidity, sweet floral notes and smooth, chocolaty body.",$20.00,12 oz.,"Seattle, WA","Tabe Burka is a mill located in the Guji zone, east of Yirgacheffe, Ethiopia. This is the first coffee we have purchased from Guji, and we immediately fell in love with its elegant grape and jasmine flavors, coating body, and milk chocolate sweetness. This coffee combines the floral character of Yirgacheffe coffees with the chocolate and dried fruit sweetness found in Guji coffees. A stellar single origin espresso.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Guji', 'Harvest Time', 'Spring 2018', 'Varietal', 'Heirloom', 'Elevation', '1850']"
Antigua La Flor,George Howell,"Clear and sweet, with bright tangerine acidity and a nutty-chocolaty sweetness.",$18.00,12 oz.,"Boston, MA","The Pastores dry mill is well known for its quality selection and sorting. This Antigua coffee is a carefully selected blend of indigenous small-farm coffee lots, washed and sun-dried in situ. Criteria are clarity, sweetness, and the presence of deep chocolate notes for which Antigua coffees have been prized since the nineteenth century.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Guatemala with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed', 'Sub Region', 'Antiqua', 'Producer', 'La Flor Del Cafe', 'Varietal', 'Bourbon, Caturra, Catuai', 'Elevation', '5500 - 6000']"
Blackstrap,Irving Farm,"Born as a classic espresso, but also great as drip coffee. Full-bodied & balanced with plenty of sweetness means it pairs perfectly with milk.",$15.00,12 oz.,"New York, NY","We love the way this espresso dances with layers of aromas and flavors, all announcing themselves in the thick viscous crema.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Bourbon, Caturra, Catuai, Catimor, Icatu, Mondo Novo, Pacas, Typica, Ethiopia Heirloom', 'Elevation', '1200']"
Dharma Espresso Blend,Temple,One great coffee meets another: This incredible blend proves you can’t have too much of a good thing. A perfect cup that works alone or in the company of milk.,$16.50,12 oz.,"Sacramento, CA","Dharma espresso is crafted to be both a great sipping espresso and a creamy, chocolatey cup of goodness when combined with milk. It's roasted and blended with some of our most exclusive Farm-To-Cup coffees: Brazil Matas de Minas, Ethiopia Sidamo Mulish, and Costa Rica Sonora Estate Red Catuai Honey.",Blends,Dark Roast,Deep & Rich,none,"['Process', 'Washed, Natural/Dry Processed, Honey', 'Sub Region', 'Sidamo, Matas de Minas, Central Valley', 'Varietal', 'Ethiopia Heirloom, Caturra, Typica, Red Catuai', 'Elevation', '1200']"
Keystone,Passenger,Two coffees come together in unexpected harmony with a blend that brings out the best in each coffee—and feels like it was totally meant to be.,$14.00,10 oz.,"Lancaster, PA","The more intrepid of our two blends, Keystone is quite fruited, but in a distinctly clean way that so excellently showcases the place that the two coffees that comprise it were grown. A truly gestalt-like phenomenon, the florals and fruit found in the washed Yirgacheffe are dramatically bolstered and highlighted by the Panamanian component in a way that would not be noticed while tasting either of these lots on their own.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Brown Sugar, Ripe Fruit and Milk Chocolate","['Process', 'Washed', 'Sub Region', 'Boquete, Yirgacheffe', 'Producer', 'Vidal Suarez, N/S', 'Harvest Time', 'March-April, November-January', 'Varietal', 'Typica, Heirloom landraces', 'Elevation', '1600']"
Bistro Blend,Caffe Vita,"At times we all appreciate a bit of nuance, and this approachable, roasty blend is just the thing to keep your cup on edge.",$16.00,12 oz.,"Seattle, WA","A blend of South American, East African and Indonesian coffees with a medium roast profile creating an approachable, balanced and nuanced cup. Grown at altitudes from 1000-2200 meters.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Roastiness and Milk Chocolate,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Bourbon, Typica', 'Elevation', '1000']"
"Mario Moreno 2017, Honduras",Passenger,"Browning sugars and cooked fruits on the nose lead into a cup full of berry compote and caramel-like qualities. Lush and sweet, this coffee is a wonderful representation of a Santa Barbara coffee.",$22.75,10 oz.,"Lancaster, PA","The 2005 Cup of Excellence launched the Santa Barbara producing region of Honduras onto the Specialty Coffee map, and it has stayed there ever since. While much of what got it there is thanks to natural conditions (climate, soil, etc.), it is primarily thanks to two coffee families that is has stayed there: the Paz family, who runs the mill that cleaned and exported this lot, and the Moreno family who shares their knowledge with the producing community.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Santa Barbara', 'Producer', 'Mario Moreno', 'Harvest Time', 'January-June 2017', 'Varietal', 'Bourbon', 'Elevation', '1550 - 1550']"
Gesha Village 2017 Wet Processed,Passenger,"An ultra-clean coffee from the remarkable Gesha Village project, this coffee exudes melon and berry flavors with a smooth body. Frozen prior to roasting to retain freshness, Gesha Village is one of a kind.",$28.50,10 oz.,"Lancaster, PA","Gesha Village is a truly one-of-a-kind project in the Southwestern highlands of Ethiopia. The 2015-2016 Harvest year was their first ever harvest (they had a small crop the previous year, but it was very tiny due to the young plants). This lot is from the 2016-2017 harvest, their second harvest ever. This coffee has been held in deep freeze storage since it arrived in the States last year and tastes as fresh as it did the day it arrived.",Single Origins,Light Roast,Citrusy & Tart,"Acid forward with hints of Citrus, Ripe Fruit and Sweet Vanilla","['Process', 'Washed', 'Sub Region', 'Gesha', 'Producer', 'Adam Overton and Rachel Samuel', 'Harvest Time', 'November-January, 2016-2017', 'Varietal', 'Heirloom Gesha', 'Elevation', '1900 - 2100']"
El Injerto Pacamara,Passenger,"This producer’s mission is three-fold: make great coffee (it’s dynamically sweet), in a sustainable way, that enhances quality of life. Mission accomplished.",$54.00,10 oz.,"Lancaster, PA","Located in the famous Guatemalan producing region of Huehuetenango, El Injerto has a threefold dedication: to coffee quality, environmental responsibility and quality of life for employees and those living around the farm. Incredibly complex fruited qualities here: Tropical fruits lead into a cup with a remarkably full-flavor quality. Palate-coating caramel sweetness and cooked tropical fruit qualities permeate every sip of this complex and nuanced coffee.",Single Origins,Light Roast,Citrusy & Tart,"Acid forward with hints of Tropical Fruit, Sweet Vanilla and Ripe Fruit","['Process', 'Washed', 'Sub Region', 'Huehuetenango', 'Producer', 'Arturo Aguirre', 'Harvest Time', 'March 2017', 'Varietal', 'Pacamara', 'Elevation', '1750 - 1750']"
"Las Palomas, Guatemala",Passenger,"Complex and nuanced, the flavors found in Las Palomas range from citrus, to kiwi, to green apple, to ripe berries. A clear cane sugar-like sweetness ties together this vibrant coffee.",$21.00,10 oz.,"Lancaster, PA","A group of nine small holder farmers from on and around the Las Palomas mountain peak in Huehuetenango, Guatemala produced this exciting coffee that showcases how processing can positively impact cup profile to make a more fruited and complex coffee, while still remaining clean.",Single Origins,Light Roast,Citrusy & Tart,"Acid forward with hints of Tropical Fruit, Berry Fruit and Sweet Vanilla","['Process', 'Washed', 'Sub Region', 'Huehuetenango', 'Harvest Time', 'February-April 2017', 'Varietal', 'Bourbon, Caturra, Catuaí', 'Elevation', '1800 - 1975']"
"Los Yoyos, Honduras",Passenger,"Intense lemon, mango and honeydew compete for the spotlight in a cup that cools to reveal a powerful lime peel finish.",$22.75,10 oz.,"Lancaster, PA","Eulogio Martinez won the 2015 Honduran Cup of Excellence with coffee from his farm, Los Yoyos. A divisive cup profile, we at Passenger find the exotic fruit and lime peel characteristics produced by the Parainema variety to be very intriguing and are honored to present this coffee for a second, consecutive year.",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Citrus, Tropical Fruit and Sweet Vanilla","['Process', 'Washed', 'Sub Region', 'Santa Barbara', 'Producer', 'Eulogio Martinez', 'Harvest Time', 'January-June 2017', 'Varietal', 'Parainema', 'Elevation', '1400 - 1400']"
