,name,extra,process,sub region,varietal,elevation,harvest time,producer
0,71 House,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Catuai', 'Caturra', 'Elevation', '1350']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Catuai', 'Caturra'","Elevation', '1350']",,
1,Costa Rica Santa Maria,Process Washed Sub Region San Jose Producer Cooperativa de Caficultores de Dota R.L. Varietal Catuaí Caturra Elevation 1500 - 1900,Process Washed,Sub Region San Jose Producer Cooperativa de Caficultores de Dota R.L.,Varietal Catuaí Caturra,Elevation 1500 - 1900,,
2,Ad Astra Signature Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Various']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Various']",,,
3,"Inkwell, House Blend",Process Washed Sub Region Tolima Tarrazu Harvest Time November 2017 Varietal Colombia Castillo Elevation 1200,Process Washed,Sub Region Tolima Tarrazu,Varietal Colombia Castillo,Elevation 1200,Harvest Time November 2017,
4,Ruby's,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Wet-hulled', 'Varietal', 'Heirloom', 'Tim', 'Tim', 'Bourbon']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Wet-hulled'",,"Varietal', 'Heirloom', 'Tim', 'Tim', 'Bourbon']",,,
5,Lyon,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
6,Corsica,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
7,Caffe Luna,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Elevation', '1500']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica'",", 'Elevation', '1500']",,
8,"Ethiopia, Semalo Pride Honey",Process Honey Sub Region Yirgacheffe Producer Firewoyne Tesfaye Harvest Time January - June 2017 Varietal Ethiopia Heirloom Elevation 1800 - 2100,Process Honey,Sub Region Yirgacheffe,Varietal Ethiopia Heirloom ,Elevation 1800 - 2100,Harvest Time January - June 2017,Producer Firewoyne Tesfaye
9,Mixtape,Process Washed Sub Region Tolima Tarrazu Cajamarca Producer 58 families (C) Luis Ureña (CR) Valentin Guerrero Zurita (P) Harvest Time sept-dec (C) dec-apr (CR) may-aug (P) Varietal Caturra Colombia Typica Catuai Bourbon Typica Caturra Elevation 1500 (C) 1800 (CR) 1350 (P),Process Washed,Sub Region Tolima Tarrazu Cajamarca,Varietal Caturra Colombia Typica Catuai Bourbon Typica Caturra,Elevation 1500 (C) 1800 (CR) 1350 (P),Harvest Time sept-dec (C) dec-apr (CR) may-aug (P) ,Producer 58 families
10,Gesha Village 2017 Dry Process,Process Natural/Dry Processed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2016-2017 Varietal Heirloom Gesha Elevation 1900 - 2100,Process Natural/Dry Processed,Sub Region Gesha ,Varietal Heirloom Gesha ,Elevation 1900 - 2100,Harvest Time November-January 2016-2017 ,Producer Adam Overton and Rachel Samuel 
12,Southern Weather,"['Process', 'Washed', 'Varietal', 'Pacamara', 'Colombia', 'Elevation', '1800']","['Process', 'Washed']",,"['Varietal', 'Pacamara', 'Colombia',","Elevation', '1800']",,
13,Nicaragua Finca La Amistad,Process Washed Sub Region Jinotega Producer Francisco Javier Valle Garcia Varietal Catuai Caturra Elevation 1200 - 1250,Process Washed,Sub Region Jinotega,Varietal Catuai Caturra,Elevation 1200 - 1250,,Producer Francisco Javier Valle Garcia
14,Colombia El Jigual,Process Washed Sub Region Huila Producer Dario Anaya Varietal Colombia F6 Elevation 1400 - 1700,Process Washed,Sub Region Huila,Varietal Colombia F6,Elevation 1400 - 1700,,Producer Dario Anaya
