,name,blend_single,classification,price,weight,weight in g,weight in oz,flavornotes,descriptor,roaster,location,roastlevel,roasternotes,process,sub region,harvest time,elevation,producer,varietal
0,71 House,Blends,Sweet & Smooth,14.75,12.0,340.1942774959533,12.0,A traditional base with hints of Milk Chocolate and Citrus,"This signature House Blend was crafted as the hallmark coffee for Irving's original cafe at 71 Irving Place. Classic, rich, smooth flavors are great with milk.",Irving Farm,"New York, NY",Medium Roast,"Our signature House Blend was created as the hallmark coffee for our original cafe at 71 Irving Place. The blend has a chocolate, round, and smooth flavor.",Process Washed,,,Elevation 1350,,Varietal Bourbon Catuai Caturra
1,Costa Rica Santa Maria,Single Origins,Chocolaty & Sweet,17.0,12.0,340.1942774959533,12.0,A classic expression of Costa Rica with hints of Sweet Vanilla and Ripe Fruit,"Smooth, lush, and clean, with soft apple acidity and maple syrupy sweetness.",Huckleberry,"Denver, CO",Light-Medium Roast,"Santa Maria is back in Huckleberry's lineup, hailing from COOPEDOTA in Costa Rica's Central Valley. This eco-pulped coffee is balanced, combining traditional sugar, pastry, and nutty sweetness with red grape, citrus, and apple fruit tones.",Process Washed,Sub Region San Jose Producer Cooperativa de Caficultores de Dota R.L.,,Elevation 1500 - 1900,,Varietal Catuaí Caturra
2,Ad Astra Signature Blend,Blends,Comforting & Rich,17.5,12.0,340.1942774959533,12.0,Nostalgic with hints of Milk Chocolate and Sweet Vanilla,"If your coffee substitutes as breakfast, this one’s for you. A dark roast of high-density varieties, this blend will tide you over. (Until your next cup.)",PT's,"Topeka, KS",Medium-Dark Roast,"Ad Astra is a very heavy, dark roasted blend of high-density coffees. Balance the sugars of a sweet dessert with Ad Astra's hints of bittersweet chocolate and heavy body. Dark chocolate is prominent throughout, marked by a cola-like sweetness and lingering tone of caramelized sugar.",Process Washed Pulped Natural,,,,,Varietal Various
3,"Inkwell, House Blend",Blends,Sweet & Smooth,15.0,12.0,340.1942774959533,12.0,A traditional base with hints of Brown Sugar and Sweet Vanilla,"Finally, a crowd-pleaser with some depth. This balanced coffee offers something for everyone in a complex yet approachable house blend.",Quills,"Louisville, KY",Medium Roast,"Inkwell has quickly become a favorite for many of our customers. This house blend has something for everyone, but it’s not just a simple crowd-pleaser. This blend represents everything we are proud to showcase in our coffees: care in production, intentional sourcing and a roaster’s unique touch—all balanced in a complex, delicate dance. It’s proof that blending doesn’t mean watering down quality.",Process Washed,Sub Region Tolima Tarrazu,Harvest Time November 2017,Elevation 1200,,Varietal Colombia Castillo
4,Ruby's,Blends,Comforting & Rich,16.0,12.0,340.1942774959533,12.0,Nostalgic with hints of Ripe Fruit and Milk Chocolate,"Bold and intricately spiced, full of chocolate and peppery notes - but with the sweetness of brown sugar and ripe red cherries. This one's got a sweet side.",DOMA,"Post Falls, ID",Medium-Dark Roast,"Fruity aromas, flavors of chocolate and pepper, brown sugar aftertastes, a mild acidity, a smooth body and a memorable sweetness.",Process Washed Natural/Dry Processed Wet-hulled,,,,,Varietal Heirloom Tim Tim Bourbon
5,Lyon,Blends,Sweet & Smooth,14.0,12.0,340.1942774959533,12.0,A traditional base with hints of Berry Fruit and Nut,"Get toasty, in any weather. Nutty and smooth, this easy-on-the-palate coffee also spreads warmth through the philanthropic initiatives its proceeds support.",La Colombe,"Philadelphia, PA",Medium Roast,"Lyon is a coffee with a gentle nature, both in flavor and spirit. Nutty-sweet notes of almond take on a smooth, toasty flavor that makes for an easy-drinking cup. The impact of this coffee is larger than the taste; proceeds from this bag help build the financial foundation for our philanthropic and community initiatives, including the Haiti Coffee Academy.",Process Washed Pulped Natural,,,,,Varietal Arabica
6,Corsica,Blends,Roasty & Smoky,13.0,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors","It’s named for an ancient island, off of Italy, just as evocative as it sounds. Much like this coffee that’s smooth and sumptuous with a slight bite of bold.",La Colombe,"Philadelphia, PA",Dark Roast,"It’s a coffee you know and love, with deep, dark chocolate tones and a bold coffee flavor. Named for an ancient island in the Mediterranean, Corsica’s cocoa notes pair beautifully with milk or stand alone, making it the perfect filter coffee for a fulfilling morning.",Process Washed Pulped Natural,,,,,Varietal Arabica
7,Caffe Luna,Blends,Roasty & Smoky,17.0,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors","Sip this by the light of the luna, or with the first crack of dawn. Just sip its signature roasty flavor, often.",Caffe Vita,"Seattle, WA",Dark Roast,"Caffe Vita signature French roast blend of Central, South American and Indonesian coffees.",Process Washed,,, Elevation 1500,,Varietal Bourbon Typica
8,"Ethiopia, Semalo Pride Honey",Single Origins,Chocolaty & Sweet,17.0,12.0,340.1942774959533,12.0,A classic expression of Ethiopia with hints of Florals and Sweet Vanilla,"Intensely floral, with a syrupy body and honey sweetness that lingers on the palate.",Maquina,"West Chester, PA",Light-Medium Roast,"Pride Mill is deeply isolated in the Yirgacheffe countryside, and is a new project by our friends at GMT, whose vision is to build Pride Mill and its coffees into the pride of Ethiopia.",Process Honey,Sub Region Yirgacheffe,Harvest Time January - June 2017,Elevation 1800 - 2100,Producer Firewoyne Tesfaye,Varietal Ethiopia Heirloom 
9,Mixtape,Blends,Sweet & Smooth,16.0,12.0,340.1942774959533,12.0,A traditional base with hints of Milk Chocolate and Nut,"Unlike that crush who didn’t appreciate your mad mixtape skills, this coffee loves you back. It’s the perfect match of balanced and bright.",Dogwood,"Minneapolis, MN",Medium Roast,"This blend is like one of the mixtapes you made for the person you really like-liked, but didn’t know very well. It is balanced, a little bass-y and a little bright. It’s a crowd pleaser with components that meld together nicely. We leave this blend open to change depending on the season, our offerings and what tastes yummy.",Process Washed,Sub Region Tolima Tarrazu Cajamarca,Harvest Time sept-dec (C) dec-apr (CR) may-aug (P) ,Elevation 1500 (C) 1800 (CR) 1350 (P),Producer 58 families,Varietal Caturra Colombia Typica Catuai Bourbon Typica Caturra
